Sun Sep 22 20:36:24 2019    profiling

         871590 function calls (871587 primitive calls) in 14.336 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:449(key_p)
       19    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:527(mouse_p)
       19    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:3931(sys_set_fps)
       19    0.001    0.000    7.641    0.402 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:4159(sys_wait_for_event)
       19    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\tcod.py:132(__setattr__)
       19    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_sys_set_fps}
       19    7.640    0.402    7.640    0.402 {built-in method tcod._libtcod.TCOD_sys_wait_for_event}
       19    0.001    0.000    0.002    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\input_handlers.py:3(handle_keys)
       18    0.000    0.000    0.000    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\map_objects\game_map.py:52(is_blocked)
       18    0.000    0.000    0.000    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\entity.py:24(move)
       18    0.000    0.000    0.000    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\entity.py:73(get_blocking_entities_at_location)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       15    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       14    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
       13    0.000    0.000    0.000    0.000 C:\Program Files (x86)\Python37-32\lib\random.py:174(randrange)
       13    0.000    0.000    0.000    0.000 C:\Program Files (x86)\Python37-32\lib\random.py:218(randint)
       12    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:418(__setattr__)
       11    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\components\fighter.py:19(attack)
        7    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        5    0.000    0.000    0.000    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\components\fighter.py:4(__init__)
        5    0.000    0.000    0.000    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\entity.py:8(__init__)
      4/1    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\numpy\core\_internal.py:88(_array_descr)
        4    0.000    0.000    0.000    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\map_objects\game_map.py:70(<listcomp>)
        4    0.000    0.000    0.000    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\components\fighter.py:9(take_damage)
        4    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\_internal.py:56(_check)
        2    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\tcod.py:24(_bytes)
        2    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\console.py:198(width)
        2    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\console.py:203(height)
        2    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\console.py:270(default_bg)
        2    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\console.py:281(default_fg)
        2    0.001    0.000    0.001    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\console.py:321(clear)
        2    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_console_get_height}
        2    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_console_get_width}
        1    0.004    0.004   14.336   14.336 C:\Users\Adam\Documents\GitHub\MirageRL\engine.py:13(main)
        1    0.000    0.000    0.003    0.003 C:\Program Files (x86)\Python37-32\lib\genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:379(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:479(__init__)
        1    0.000    0.000    0.493    0.493 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:866(console_init_root)
        1    0.000    0.000    0.022    0.022 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:967(console_set_custom_font)
        1    0.000    0.000    0.001    0.001 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:1705(console_new)
        1    0.000    0.000    0.000    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\numpy\core\_internal.py:105(<listcomp>)
